Product,Product Group
VMware vRealize Operations Standard (25 VM Pack),vRealize Operations
VMware vSphere 6 with Operations Management Enterprise Plus,vRealize Operations
VMware vSphere 6 with Operations Management Standard for 1 processor Special,vRealize Operations
vRealize Operations 6 Advanced,vRealize Operations
*Promo* - VMware Virtual SAN Standard,vSAN
*Promo* - VMware Virtual SAN Standard + Enterprise Add-on,vSAN
U.S Federal VMware Virtual SAN Advanced + Enterprise Add-on,vSAN
U.S. Federal VMware Virtual SAN Enterprise Add-on,vSAN
U.S. Federal VMware Virtual SAN Standard,vSAN
U.S.Federal VMware Virtual SAN Advanced,vSAN
US Federal VMware Virtual SAN Standard + Enterprise Add-on,vSAN
US Federal VMware vSAN Advanced + Enterprise Add-on for Hyper-Converged  Infrastructure (Restricted; See Product Usage Guide),vSAN
VMware Virtual SAN Advanced,vSAN
VMware Virtual SAN Advanced + Enterprise Add-on,vSAN
VMware Virtual SAN Advanced for Desktop,vSAN
VMware Virtual SAN Advanced Tier 1 -275 PPU,vSAN
VMware Virtual SAN Advanced Tier I (0-20TB) -- 200,vSAN
VMware Virtual SAN Advanced Tier II (20+ -64TB)--254PPU,vSAN
VMware Virtual SAN All Flash Add-on,vSAN
VMware Virtual SAN Enterprise Add-on,vSAN
VMware Virtual SAN Standard,vSAN
VMware Virtual SAN Standard - 0-20TB,vSAN
VMware Virtual SAN Standard + Enterprise Add-on,vSAN
VMware Virtual SAN Standard for Desktop,vSAN
VMware Virtual SAN Standard for Desktop + Enterprise Add-on for Desktop,vSAN
VMware Virtual SAN Standard Special 20-64TB,vSAN
VMware Virtual SAN Standard Special 64 - 124TB,vSAN
VMware vSAN Advanced + Enterprise Add-on for Hyper-Converged  Infrastructure (Restricted; See Product Usage Guide),vSAN
VMware vSAN Standard  for 1 processor,vSAN
VMware vSAN Standard + Enterprise Add-on for Hyper-Converged Infrastructure (Restricted; See Product Usage Guide),vSAN
U.S. Federal VSPP 10800 Monthly Rental underage charges,VSPP
U.S. Federal VSPP 360 Monthly Rental grace period,VSPP
U.S. Federal VSPP 360 Monthly Rental underage charges,VSPP
U.S. Federal VSPP 3600 Monthly Rental underage charges,VSPP
U.S. Federal VSPP Custom Rental - 1charge per point,VSPP
U.S. Federal VSPP Custom Rental underage charges,VSPP
VSPP 100k Monthly Rental underage charges,VSPP
VSPP 10800 Monthly Rental grace period,VSPP
VSPP 10800 Monthly Rental underage charges,VSPP
VSPP 1800 Monthly Rental grace period,VSPP
VSPP 1800 Monthly Rental underage charges,VSPP
VSPP 18000 Monthly Rental grace period,VSPP
VSPP 18000 Monthly Rental underage charges,VSPP
VSPP 30000 Monthly Rental grace period,VSPP
VSPP 30000 Monthly Rental underage charges,VSPP
VSPP 360 Monthly Rental grace period,VSPP
VSPP 360 Monthly Rental underage charges,VSPP
VSPP 3600 Monthly Rental grace period,VSPP
VSPP 3600 Monthly Rental underage charges,VSPP
VSPP Custom Rental - 1charge per point,VSPP
VSPP Custom Rental grace period,VSPP
VSPP Custom Rental underage charges,VSPP
VMware Workspace ONE Advanced Perpetual: 1 Device,Workspace ONE
VMware Workspace ONE Standard Perpetual: 1 Device,Workspace ONE
VMware Workspace ONE Standard Perpetual: 1 Device -- Special pricing,Workspace ONE
VMware vRealize Suite Standard(Per PLU),vRealize Suite
